ALAMO,517,Alamo Aviacion,AVD, S.L.
Bhutan,2058,Druk Air,DRK,ROYAL BHUTAN
Lao Peoples Democratic Republic,3232,Lao Air Company,LLL,LAVIE
Lao Peoples Democratic Republic,3233,Lao Airlines,LAO,LAO
Lao Peoples Democratic Republic,3234,Lao Capricorn Air,LKA,NAKLOA
Argentina,119,American Falcon,AFB,AMERICAN FALCON
Argentina,340,Andes Lineas Aereas,ANS,AEROANDES
Argentina,353,Aero VIP,AOG,AVIP
Argentina,412,Aerolineas Argentinas,ARG,ARGENTINA
Argentina,510,Austral Lineas Aereas,AUT,AUSTRAL
Argentina,865,Argentine Air Force,FAG,FUAER
Argentina,1029,Air Plus Argentina,LMP,AIR FLIGHT
Argentina,1583,CATA L,CTZ,CATA
Argentina,2028,Dinar,RDN,AERO DINAR
Argentina,2690,Hawk Air,HKR,AIR HAW
Argentina,3198,LADE - Lineas Aereas Del Estado,LDE,LADE
Argentina,3201,LAN Argentina,DSM,LAN AR
Argentina,3281,Lineas Aereas Federales,FED,FEDERALES
Argentina,3342,L,LPR,LAPA
Argentina,3915,Patria Cargas Aereas,PTC,PATRIA
Argentina,4513,Servicios de Transportes A,STU,FUEGUINO
Argentina,4550,Southern Winds Airlines,SWD,SOUTHERN WINDS
Argentina,4577,Skyways,SYA,LINEAS CARDINAL
Argentina,5029,TAPSA Transportes Aereos Petroleros,TPS,TAPSA
Argentina,10929,TAN,\N,
Argentina,11751,Sol Lineas Aereas,OLS,FLIGHT SOL
Argentina,16130,SUR Lineas Aereas,SZZ,
Argentina,16363,Norte Lineas Aereas,\N,
Argentina,19803,All Argentina,AL1,
Argentina,19928,All Argentina Express,Z9H,
Argentina,19970,All America AR,M7A,
Argentina,20224,Global Airlines,GA0,
Argentina,20599,INAVIA Internacional,IIR,
Argentina,20769,VIA Líneas Aéreas,VIA,
AEROVARADERO,552,Aerovaradero,AVY, S.A.
United Arab Emirates,27,Aerovista Airlines,AAP,AEROVISTA GROUP
United Arab Emirates,329,Air Arabia,ABY,ARABIA
United Arab Emirates,366,Avjet International (FZE),VJE,
United Arab Emirates,367,Aerovista Gulf Express,VGF,VISTA GULF
United Arab Emirates,502,Abu Dhabi Amiri Flight,AUH,SULTAN
United Arab Emirates,941,Al Rais Cargo,HJT,AL-RAIS CARGO
United Arab Emirates,1147,Ave.com,PHW,PHOENIX SHARJAH
United Arab Emirates,2043,Flying Dolphin Airlines,FDN,FLYING DOLPHIN
United Arab Emirates,2060,Dubai Airwing,DUB,DUBAI
United Arab Emirates,2124,Eastern Sky Jets,ESJ,EASTERN SKYJETS
United Arab Emirates,2171,Elite Jets,EJD,ELITE DUBAI
United Arab Emirates,2183,Emirates,UAE,EMIRATES
United Arab Emirates,2222,Etihad Airways,ETD,ETIHAD
United Arab Emirates,2269,Execujet Middle East,EJO,MIDJET
United Arab Emirates,2312,Fair Wind Air Charter,FWD,FAIR WIND
United Arab Emirates,2321,Falcon Aviation Services,FVS,FALCON AVIATION
